number of parts,part,link,price
1, ESP32 C3 Super Mini,https://www.aliexpress.com/i/3256805133649154.html?gatewayAdapt=4itemAdapt,1$
1,0.96 Inch OLED SSD1306 ,https://www.aliexpress.us/item/2251832457635357.html?gatewayAdapt=glo2usa4itemAdapt,1.90$
2,KY040 rotary encoder,https://www.aliexpress.us/item/3256810329108611.html?spm=a2g0o.productlist.main.5.4bdc5251pwmBxz&algo_pvid=a28a2547-8e88-4ff1-b409-e2da05162743&algo_exp_id=a28a2547-8e88-4ff1-b409-e2da05162743-4&pdp_ext_f=%7B%22order%22%3A%22113%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.50%212.49%21%21%2143.73%2116.76%21%4021015b7d17816282285638853e30ad%2112000052666463017%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=DNNGZMwimxAw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010515423363%7C_p_origin_prod%3A&_gl=1*1438p9g*_gcl_aw*R0NMLjE3ODE2MjgyNDcuQ2p3S0NBanc2TVBSQmhCVEVpd0FkLTdNcjB6dThNa3dINk5BVGxJVUZhS3JtUWd2VWZFU2NVUmlnaENuNnZ4Q3BRQmhkUEI0TmpTN0p4b0NxR29RQXZEX0J3RQ..*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODE2MjgyNDYkbzEwJGcwJHQxNzgxNjI4MjQ2JGo2MCRsMCRoMA..,6.50$
1,AA Battery Holder Enclosures,https://www.aliexpress.us/item/3256802150430323.html?spm=a2g0o.productlist.main.1.46314a39hNWMpA&algo_pvid=b27380b2-4e87-40ab-a0d5-da4ba22fffd9&algo_exp_id=b27380b2-4e87-40ab-a0d5-da4ba22fffd9-0&pdp_ext_f=%7B%22order%22%3A%221583%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.43%210.86%21%21%211.43%210.86%21%40213ba8cc17811940061264831eab0e%2112000020155944453%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895&curPageLogUid=IUHm0nbRxOM3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002336745075%7C_p_origin_prod%3A&_gl=1*8mbl24*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODExOTM2MzYkbzckZzEkdDE3ODExOTQwMDYkajIwJGwwJGgw,1.43$
1,Jumper Wires,https://www.aliexpress.us/item/3256810062711054.html?spm=a2g0o.productlist.main.17.49e350b8j8KvAS&algo_pvid=d6feb1b5-a38d-403f-857f-b16e6db432bf&algo_exp_id=d6feb1b5-a38d-403f-857f-b16e6db432bf-16&pdp_ext_f=%7B%22order%22%3A%221172%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.50%210.99%21%21%212.50%210.99%21%40214100f417811941409597287e9b49%2112000051674774613%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18fdee69%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=N9leTiRH1nE8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010249025806%7C_p_origin_prod%3A&_gl=1*gv0kjr*_gcl_au*MjA1Mzc2Nzk0OC4xNzc5Nzk2NTAx*_ga*MzQ3MzY0NzE5LjE3Nzk3OTY1MDE.*_ga_VED1YSGNC7*czE3ODExOTM2MzYkbzckZzEkdDE3ODExOTQxNTQkajQ5JGwwJGgw,5.15$
,total,,22.48$
